LOCAL_DATE,MEAN_TEMPERATURE_CALGARY,TOTAL_PRECIPITATION_CALGARY,MEAN_TEMPERATURE_EDMONTON,TOTAL_PRECIPITATION_EDMONTON,MEAN_TEMPERATURE_HALIFAX,TOTAL_PRECIPITATION_HALIFAX,MEAN_TEMPERATURE_MONCTON,TOTAL_PRECIPITATION_MONCTON,MEAN_TEMPERATURE_MONTREAL,TOTAL_PRECIPITATION_MONTREAL,MEAN_TEMPERATURE_OTTAWA,TOTAL_PRECIPITATION_OTTAWA,MEAN_TEMPERATURE_QUEBEC,TOTAL_PRECIPITATION_QUEBEC,MEAN_TEMPERATURE_SASKATOON,TOTAL_PRECIPITATION_SASKATOON,MEAN_TEMPERATURE_STJOHNS,TOTAL_PRECIPITATION_STJOHNS,MEAN_TEMPERATURE_TORONTO,TOTAL_PRECIPITATION_TORONTO,MEAN_TEMPERATURE_VANCOUVER,TOTAL_PRECIPITATION_VANCOUVER,MEAN_TEMPERATURE_WHITEHORSE,TOTAL_PRECIPITATION_WHITEHORSE,MEAN_TEMPERATURE_WINNIPEG,TOTAL_PRECIPITATION_WINNIPEG
1/1/70 00:00,-5.8,1.3,-8.7,0.3,-9.2,1.5,-12,0,-18.4,0,-15.6,0,-16.1,0,-15.6,0.5,-0.6,0,-12.8,0,2.2,0,-1.4,0,-11.7,1.8
1/2/70 00:00,-3.7,0,-5,2.3,-6.1,0,-10.6,0,-14.8,0,-12.8,0,-16.1,0,-12.5,1,-1.1,1.3,-12.2,0,1.1,1,-12.8,0,-15,0.8
1/3/70 00:00,-7.8,1,-9.2,3,-9.5,0.5,-11.7,0,-17,0,-15.3,0,-16.1,0,-16.1,1.5,-3.4,0.3,-9.5,2,1.7,0.5,-13.9,0.5,-20.6,0.3
1/4/70 00:00,-16.1,1.3,-17,0.5,-11.1,0,-14.2,0,-21.7,0,-17.2,0,-17,0,-20.9,0,-5.6,0.3,-12,0,-0.3,0,-19.2,1.5,-23.1,0.3
1/5/70 00:00,-20.9,0.3,-22.8,0.3,-11.4,0,-12.2,0,-17.5,1.5,-13.6,0.3,-17,0.3,-20,0,-6.1,1.8,-9.5,0,-0.6,0,-24.5,0,-20.3,0
1/6/70 00:00,-22.8,0,-27,0,-6.7,0,-7.8,0,-15.3,0,-13.1,0,-14.2,0,-21.7,0,-6.7,0,-10,0,2,0,-21.7,2.8,-22,0.3
1/7/70 00:00,-23.6,0,-28.6,0,-9.5,0,-10.3,0,-15.8,0,-13.9,0,-15.3,0,-27.8,0,-6.4,0,-12,0.3,0,0,-16.1,0,-23.1,0.3
1/8/70 00:00,-22,0,-24.7,0,-8.3,0,-11.4,0,-15,0.8,-13.7,1.3,-15.9,0.3,-29.2,0,-7,7.1,-16.4,0,2.2,4.6,-18.6,0.3,-20.3,0
1/9/70 00:00,-11.2,0,-23.1,0,-11.1,0,-13.3,0,-15,1,-15.6,0.5,-14.5,0.3,-17.5,0,-6.4,0,-13.4,0,5,6.6,-21.7,0.3,-21.7,0
1/10/70 00:00,-20.9,0.8,-21.7,0,-10.6,0,-12.5,0.3,-13.7,0.3,-14.5,0,-12.5,0,-15.9,0.5,-5.3,0.3,-10.9,0,1.4,0.5,-23.1,1,-14.8,2.3
1/11/70 00:00,-25,0.3,-26.7,0,-11.7,0.8,-12.3,0,-18.9,0.3,-17.3,0,-15,0,-25.3,0,-3.9,0,-9.2,0.5,3.4,0.3,-30.9,0,-16.4,0
1/12/70 00:00,-23.9,0,-30.3,0,-11.4,0,-12.3,0,-19.2,1.8,-16.9,1.5,-17.3,0,-30.8,0,-3.4,0,-7.5,2.8,2.8,0,-37.5,0,-26.4,0
1/13/70 00:00,-27.8,0.3,-28.9,0.5,-9.2,3.8,-10.6,0,-16.1,0.5,-16.4,0.3,-15.8,0.3,-28.4,0,-1.1,3.3,-11.1,0,1.7,11.7,-40.9,0,-29.5,1.3
1/14/70 00:00,-28.3,0,-27.3,3.8,-11.1,0,-12,0.5,-18.9,0,-20.3,0,-17.3,0,-25.6,2.3,-2.3,3.8,-20,0,4.2,5.3,-38.1,0,-21.7,6.9
1/15/70 00:00,-32.2,0.5,-32.3,0,-8.9,0.3,-8.9,0.3,-22.5,0,-22.3,0,-19.2,0,-29.5,0,-3.9,7.1,-16.1,0,0.6,0,-38.1,0,-23.9,3
1/16/70 00:00,-32,0,-38.6,0,-8.9,0,-10.6,0,-17.5,2.8,-15.9,0.8,-17,1.8,-35.6,0,-2.8,4.3,-5.3,0,-0.9,0,-30.3,0.5,-30.9,0
1/17/70 00:00,-26.1,0,-33.9,0,-5.8,0.3,-7.8,0,-8.9,0,-8.6,0.5,-11.4,0,-36.4,0,-5.8,2,-4.8,5.3,-1.7,12.4,-23.1,0,-33.4,0
1/18/70 00:00,-17.5,0,-31.7,0,-10.9,0,-14.8,0,-17.3,0.3,-15.9,0.5,-17.3,0,-33.4,0,-8.1,0,-15.8,0,0.6,8.1,-21.7,0,-32,0
1/19/70 00:00,-12.3,0,-26.4,0,-13.9,0,-16.7,0,-23.6,0,-21.7,0,-21.7,0,-31.2,0,-10.6,0.3,-17.5,0.8,4.2,13.2,-18.6,0,-31.7,0
1/20/70 00:00,-8.1,0.5,-15,0,-15,0,-17.8,0,-23.9,0,-22.2,0,-23.6,0,-25,0,-7.8,0.8,-17,0,8.1,1.8,-13.6,0,-30.8,0
1/21/70 00:00,-5.6,0,-12.5,1,-17.2,1.3,-20.6,0,-22.8,0.3,-21.1,0,-21.7,0.3,-17.3,0,-7.8,4.6,-20.3,0,9.8,13.7,-8.1,1,-26.9,0
1/22/70 00:00,-1.4,0,-8.4,1.8,-13.1,0,-14.8,0,-22.2,0,-21.1,0,-21.7,0,-15,0.8,-3.1,17.3,-15.3,0,5.6,8.6,-7.5,0,-21.7,0
1/23/70 00:00,-1.1,0,-7.5,0,-10.6,1.3,-13.9,3.8,-16.7,1,-14.5,3.6,-18.3,2.3,-9.8,0,-7,1,-14.7,0.5,8.4,5.6,-12.2,0,-19.2,0.8
1/24/70 00:00,-4.2,0,-9.2,0,-10.6,0.8,-16.4,0.5,-20,0,-18.7,1,-21.1,0,-11.4,0,-4.2,7.4,-17.5,0.3,5,0,-8.6,0.5,-9.2,0
1/25/70 00:00,-3.1,0,-10.3,0,-11.1,0,-15,0,-11.1,0.3,-11.4,3.3,-13.6,1.5,-9.2,1.8,-9.5,5.3,-3.9,8.4,5,2,-12.3,0,-7.2,1.8
1/26/70 00:00,-3.1,0,-9.5,0,-6.1,8.1,-10.3,3.6,-9.2,0.5,-5.8,2.3,-8.9,0,-11.4,0.5,-10.3,0,-5.3,2,4.2,5.3,-12.3,0,-10,0
1/27/70 00:00,-6.7,5.8,-13.9,0,-6.4,0,-10.6,0,-11.1,0,-10,0.3,-14.5,0,-13.9,0,-7.5,0.5,-3.4,0.5,4.5,1.3,-5.6,0,-8.3,1.5
1/28/70 00:00,-8.4,0.5,-10.3,0,-7.2,0,-8.4,0,-5.6,7.6,-3.9,13.2,-8.4,11.9,-10,0,-10.9,0.3,2,1.5,2.5,0.3,-4.2,0,-15,1.3
1/29/70 00:00,-2.5,0,-5.9,0,-0.3,9.1,-1.2,1.5,1.4,0,-3.1,1.3,-0.6,18,-12.5,0,-8.9,0.5,-0.8,0.8,3.4,0,-3.1,0,-15.6,0.5
1/30/70 00:00,1.1,0,0.9,0,-2,0,-4.5,0.3,-10.6,0,-15.3,0.3,-9.5,0,-4.7,0,0,1.8,-10.9,0,1.7,1.3,-11.7,2.3,-7.3,0
1/31/70 00:00,2.5,0,-9.2,2.3,-9.8,0,-13.1,0,-8.6,0,-10.3,0,-12,7.9,-9.8,0,-6.7,0,-3.9,0,7,11.9,-14.5,4.6,-9.2,0
2/1/70 00:00,-9.8,1.3,-20.6,3,-3.6,0,-4.5,0.5,2.5,0,1.7,0,-3.3,1.5,-23.4,0.8,-6.4,0,2,0,5,0,-16.4,0,-22.5,2
2/2/70 00:00,-15.3,0,-19.2,0.3,0.3,0.8,1.9,0.3,3.4,9.7,-0.9,12.7,-1.4,19.8,-28.6,0,-0.8,0,-3.1,5.8,5.3,5.1,-9.5,6.1,-28.9,0
2/3/70 00:00,-5.6,0,-8.1,0.5,7.8,27.2,8.1,14.2,-7.5,8.4,-14.5,10.2,-4.7,14.2,-20.6,2.5,3.4,0,-15.8,0.8,3.6,0.3,-2.8,0,-26.4,0.5
2/4/70 00:00,-1.7,0,-3.9,0,2.3,29,0,30.5,-22.2,0.5,-24.5,0,-19.2,9.1,-7,0,6.7,0,-16.7,1.3,2.5,0,-0.9,0,-18.7,1
2/5/70 00:00,-2.5,0,-6.4,0,-6.1,0,-10,0,-14.2,0,-15.3,0.3,-18.6,0,-7.2,0,4.4,0,-4.2,0,1.1,3.8,0,0,-13.4,0
2/6/70 00:00,0.3,0,-5.3,0,-6.4,0,-5,0,-5,0.3,-4.2,0,-8.9,0,-11.7,0,3.1,0.8,-3.1,0,6.4,0.3,-0.6,0,-11.4,0
2/7/70 00:00,-2.8,0,-7.8,0,-3.6,0,-4.2,0,-5.9,0,-1.4,0,-4.7,0,-9.8,0,3.9,6.9,-2.8,0,8.1,2.8,-2.5,0,-14.2,0
2/8/70 00:00,2.3,0,-3.1,0,-0.3,0,-2.5,0,-5.9,0,-3.4,0,-6.2,0,-12,0,-0.6,30,-4.5,0,4.7,0,-5.9,0,-7.3,0
2/9/70 00:00,4.7,0,-2,0,-0.3,0,-2.8,0,-5.3,0,-8.4,0,-7,0,-5,0,-1.7,0,-2.5,0,3.9,0,-14.5,0,-2.8,0
2/10/70 00:00,-1.1,0,-3.9,0,-1.7,0,-2,0,-0.3,2.3,-2.5,31.8,-2.3,9.1,-6.4,1.5,-3.9,0,0.3,11.4,3.4,0,-10.6,0,-8.9,1.5
2/11/70 00:00,-0.3,0,-9.5,0,3.4,10.4,3.1,1.3,-3.7,5.3,-6.7,16.8,-0.6,8.4,-6.1,0,-2.3,0,-5.6,0.8,3.9,0,-7.5,0,-14.5,0
2/12/70 00:00,-7.2,0.5,-8.6,0,-2.8,2,-5,0.5,-13.4,2,-15.8,2.3,-11.4,5.3,-18.1,0,3.9,29,-11.1,0.8,5.3,0,-8.9,0,-20.3,0.3
2/13/70 00:00,-7.2,0.5,-9.5,1.8,-7.5,0.8,-11.2,0,-18.9,0,-20.9,0.3,-20.9,0,-25.9,0,2.3,17.5,-17,0,7.2,12.4,-12.8,0,-25.6,0
2/14/70 00:00,-9.2,0.5,-15.3,1.8,-13.1,0,-16.7,0,-18.4,0,-20,0,-22.3,0,-22.8,1,-6.4,8.6,-13.4,0,8.4,1.5,-10.3,0,-22.5,0.3
2/15/70 00:00,-1.4,0,-12.2,0,-6.7,14,-13.1,11.9,-15.6,4.8,-17.5,2.8,-17.5,9.1,-22.3,0,-10.9,0,-9.2,0.3,7.5,8.4,-2.8,0.5,-26.7,0
2/16/70 00:00,-3.6,0,-14.5,0,-2.8,0.5,-9.4,0.5,-11.7,0,-12.5,0.3,-12.3,3,-13.7,0.5,-0.3,25.9,-8.9,0,8.6,14.2,-6.4,0,-16.7,2.8
2/17/70 00:00,-10.9,2,-14.2,0.5,-7.8,0,-10.6,0,-7.3,0,-7.8,0,-12.8,0.5,-21.4,1.5,-4.2,0,-5.6,0,7.8,7.1,-16.7,0,-18.6,5.6
2/18/70 00:00,-7.2,0,-10,0,-6.7,0,-7.8,0,-4.2,1.8,-3.4,5.3,-6.9,4.6,-22.8,0.3,-4.5,0.5,0.3,3.3,7,0,-9.7,0,-23.7,0
2/19/70 00:00,-0.6,0,-5.9,3,-2.5,4.3,-5.9,4.8,-8.6,2,-8.9,0,-9.2,0,-19.8,0,-0.9,6.4,-7.5,2.5,7.2,0,0.9,0,-20,0.3
